,id,Venue,Locality,Sector,Venue Latitude,Venue Longitude,Local Latitude,Local Longitude,Distance
3314,4e759fe6483b0cf5ecd671c8,Hotel Seasons,Kandivli (West),North,19.20011834629359,72.84855064894919,19.2006415,72.84855340000001,58.13623185150928
2684,53fae10f498ea58f17e6d10c,Hungry Panda,Versova,West,19.130328218364998,72.82192846479626,19.13025205,72.8213774957082,58.46130111546647
3083,4f0d3cdde4b08f669829bb28,Hari Om,Mulund (East),East,19.170606737060535,72.96050064495557,19.1704719,72.9610447,59.03855419206023
3108,4c2b75692219c928b79ba448,Tarkeshwar Snacks & Juice Center,Mulund (West),East,19.17222805054873,72.95067309436331,19.1719717,72.95119559999999,61.80026289660822
2738,50783bbce4b0249cc66cf1d1,Amrut,NITIE,East,19.135201853651864,72.90036724821294,19.1349868,72.8997985,64.31495530345893
1820,4f04126961afb3ab8a1e8af1,Malabar Kitchen,Vidya Nagari,West,19.071743717453074,72.86301449341585,19.0723479,72.86291870000001,67.88945652999479
1387,4b0587d7f964a520dda322e3,Rama Nayak’s Udipi Sri Krishna Boarding,Matunga,West,19.02721419876251,72.85075235997445,19.027435600000004,72.85014670000001,68.21791144813976
2335,578e3d7dcd1009803562858a,Delhi Highway,Saki Naka,East,19.107631479319803,72.8833848719027,19.1082208,72.88358240000001,68.6943082684952
1879,4e59de8c2271886714fa28d6,Nanak Sai,Khar,West,19.072362516457943,72.83303004974982,19.072457500000002,72.8337068,71.85519263792271
3124,4e15db0b227165ad03b2821f,Achija,Mulund (West),East,19.172473083104567,72.95073089646766,19.1719717,72.95119559999999,74.05000607362804
2863,515b320be4b08f1eb70a5f46,Lokhandwala Chaat Corner (Monsoon),Lokhandwala,West,19.142878800317426,72.82474429918412,19.1431889,72.824081,77.69348288740119
3546,4dd3eef6fa76c0bf0250aaf1,Gupta Bhelwala,Mount Poinsur,North,19.24394179893558,72.85261815146849,19.2432246,72.8527611,81.09765037669509
2809,4d309261d902236a65c254e4,Eden Bakery,Lokhandwala,West,19.142848081704912,72.82476443571024,19.1431889,72.824081,81.12992954398436
2542,516ef5abe412fde8da8fbbc4,The Coffee Studio,MIDC,West,19.119969591470426,72.86411762237549,19.120511899999997,72.8646365,81.23894769889789
2306,5266406011d2e8dfe3968d8f,Barbeque Nation,Saki Naka,East,19.107612906758266,72.88402422433657,19.1082208,72.88358240000001,81.94864596553909
3495,4f23986ce4b0085e491c25a5,5 Spice,Borivali West,North,19.23011342561552,72.8476290366176,19.2294561,72.84799050000001,82.3046092333281
527,4bcb20b8cc8cd13af4b2becf,Little Italy,Girgaon,South,18.954814118135932,72.81727938201153,18.9543165,72.8179082,86.17157264568867
1745,4f143e77e4b0960d018cc04e,Guru Nanak,Kurla,East,19.065634,72.878649,19.065279699999998,72.87938050000001,86.32976204194094
1212,502bc1b7e4b07c0c58560577,Smokin' Joe's Prabhadevi,Prabhadevi,South,19.01528074365887,72.82724851807636,19.0148811,72.8279556,86.54964813416558
2300,53466e46498ebf0d08060ee5,Pizza Express,Saki Naka,East,19.107447757123097,72.88345355722812,19.1082208,72.88358240000001,86.96325840312198
2718,4e0dad77b61c3fe477fb3ac6,Coffee Shack,IIT Mumbai,East,19.131952312852505,72.91543232296566,19.13261855,72.91497912536826,88.00640048334284
1386,4b3efe7ef964a52075a325e3,Muthuswamy's Arya Bhavan,Matunga,West,19.02708378949544,72.8509120771071,19.027435600000004,72.85014670000001,89.40629539431424
2814,4b0587e3f964a520cda522e3,Breadkraft,Lokhandwala,West,19.142726729511175,72.82479334518244,19.1431889,72.824081,90.71987719628225
2682,4bd71c5dcfa7b71363ae28da,Peppr Pinch,Versova,West,19.129604891304922,72.82194866043724,19.13025205,72.8213774957082,93.63622649345815
2810,5037a92ce4b0c1904e39a4e9,Mad Over Donuts,Lokhandwala,West,19.14264386893489,72.82476738600698,19.1431889,72.824081,94.13038417616671
1206,4be7bbac9a54a593f52b0911,Garnish,Prabhadevi,South,19.015733998116083,72.82790547972756,19.0148811,72.8279556,94.92456290160574
571,4fb91514e4b0851f2a3585bb,Chinese and grill,Mandvi,South,18.95489160365298,72.83390130661454,18.9550564,72.83479190000001,95.37535415774263
1714,4ce7f9588ef78cfab611979b,Chinar lounge,Bandra (East),West,19.06084478701893,72.85011108676964,19.0616565,72.8498111,95.54640658256851
